label,query
Enabled,disabled=0
Disabled,disabled=1
Scheduled,is_scheduled=1
Accelerated,auto_summarize=1
Realtime schedule (vs. Continuous),realtime_schedule=1
Summary Index,action.summary_index=1
Real-Time Search,dispatch.earliest_time=rt*
Private,eai:acl.sharing=user
Continuous schedule (vs. Realtime),realtime_schedule=0
ES: context gen,"title=""* - context gen"""
ES: lookup gen,"title=""* - lookup gen"""
ES: other gen,"title=""*gen"" NOT title=""* - context gen"" NOT title=""* - lookup gen"""
"ES: Correlation search ""rule""","title=""*- rule"""
Any attribute,title=*
ES: Threat Activity,action.threat_activity=*
ES: RBA Risk Rule,"title=""* - RR - *"""
MLTK: model gen,"title=""* - model gen"""
